# x(arb. units)     double (a.u.)           x²/5
# Test comments in lines and empty lines
5.0000000000000000E-001  1.0000000000000000E+000  5.0000000000000003E-002 # Primera línea
1.5555555555555556E+000  3.1111111111111112E+000  4.8395061728395061E-001

2.6111111111111112E+000  5.2222222222222223E+000  1.3635802469135803E+000
3.6666666666666670E+000  7.3333333333333339E+000  2.6888888888888891E+000
4.7222222222222223E+000  9.4444444444444446E+000  4.4598765432098766E+000
5.7777777777777777E+000  1.1555555555555555E+001  6.6765432098765434E+000
6.8333333333333339E+000  1.3666666666666668E+001  9.3388888888888903E+000
7.8888888888888893E+000  1.5777777777777779E+001  1.2446913580246916E+001
8.9444444444444446E+000  1.7888888888888889E+001  1.6000617283950618E+001
1.0000000000000000E+001  2.0000000000000000E+001  2.0000000000000000E+001
